started writing at 2017-12-16_23:54:11
dataset = /home/bram/Documents/dependency-parser/src/../data/hi-ud-train_unk.json
lr = 0.002
weight decay = 1e-06
betas = (0.9, 0.9)
len_word_embed = 100
len_pos_embed = 20
len_feature_vec = 20
lstm_hidden_size = 400
mlp_arc_hidden_size = 500

TIME: 2017-12-17_00:11:07, EPOCH: 0, LOSS: 0.979466
TIME: 2017-12-17_00:28:04, EPOCH: 1, LOSS: 0.707896
TIME: 2017-12-17_00:45:00, EPOCH: 2, LOSS: 0.690644
TIME: 2017-12-17_01:01:55, EPOCH: 3, LOSS: 0.680799
TIME: 2017-12-17_01:18:50, EPOCH: 4, LOSS: 0.667185
TIME: 2017-12-17_01:35:46, EPOCH: 5, LOSS: 0.654771
TIME: 2017-12-17_01:52:42, EPOCH: 6, LOSS: 0.642802
TIME: 2017-12-17_02:09:37, EPOCH: 7, LOSS: 0.630252
TIME: 2017-12-17_02:26:32, EPOCH: 8, LOSS: 0.619631
TIME: 2017-12-17_02:43:28, EPOCH: 9, LOSS: 0.610016
TIME: 2017-12-17_03:00:23, EPOCH: 10, LOSS: 0.599417
TIME: 2017-12-17_03:17:18, EPOCH: 11, LOSS: 0.597699
TIME: 2017-12-17_03:34:14, EPOCH: 12, LOSS: 0.58775
TIME: 2017-12-17_03:51:09, EPOCH: 13, LOSS: 0.586957
TIME: 2017-12-17_04:08:05, EPOCH: 14, LOSS: 0.582745
TIME: 2017-12-17_04:25:00, EPOCH: 15, LOSS: 0.583825
TIME: 2017-12-17_04:41:55, EPOCH: 16, LOSS: 0.578623
TIME: 2017-12-17_04:58:51, EPOCH: 17, LOSS: 0.575953
TIME: 2017-12-17_05:15:46, EPOCH: 18, LOSS: 0.578
TIME: 2017-12-17_05:32:42, EPOCH: 19, LOSS: 0.577567
TIME: 2017-12-17_05:49:37, EPOCH: 20, LOSS: 0.585666
TIME: 2017-12-17_06:06:33, EPOCH: 21, LOSS: 0.583049
TIME: 2017-12-17_06:23:28, EPOCH: 22, LOSS: 0.580134
TIME: 2017-12-17_06:40:24, EPOCH: 23, LOSS: 0.58039
TIME: 2017-12-17_06:57:19, EPOCH: 24, LOSS: 0.574036
TIME: 2017-12-17_07:14:14, EPOCH: 25, LOSS: 0.571057
TIME: 2017-12-17_07:31:10, EPOCH: 26, LOSS: 0.566039
TIME: 2017-12-17_07:48:06, EPOCH: 27, LOSS: 0.571503
TIME: 2017-12-17_08:05:01, EPOCH: 28, LOSS: 0.574239
TIME: 2017-12-17_08:21:57, EPOCH: 29, LOSS: 0.574516
TIME: 2017-12-17_08:38:52, EPOCH: 30, LOSS: 0.572267
TIME: 2017-12-17_08:55:47, EPOCH: 31, LOSS: 0.566591
TIME: 2017-12-17_09:12:43, EPOCH: 32, LOSS: 0.569085
