started writing at 2017-12-16_19:24:09
dataset = /home/bram/Documents/dependency-parser/src/../data/en-ud-train-short_unk.json
lr = 0.002
weight decay = 1e-06
betas = (0.9, 0.9)
len_word_embed = 100
len_pos_embed = 20
len_feature_vec = 20
lstm_hidden_size = 400
mlp_arc_hidden_size = 500

TIME: 2017-12-16_19:28:11, EPOCH: 0, LOSS: 2.44298
TIME: 2017-12-16_19:32:03, EPOCH: 1, LOSS: 1.59875
TIME: 2017-12-16_19:35:53, EPOCH: 2, LOSS: 1.35197
TIME: 2017-12-16_19:39:43, EPOCH: 3, LOSS: 1.26143
TIME: 2017-12-16_19:43:33, EPOCH: 4, LOSS: 1.21132
TIME: 2017-12-16_19:47:23, EPOCH: 5, LOSS: 1.16334
TIME: 2017-12-16_19:51:13, EPOCH: 6, LOSS: 1.16611
TIME: 2017-12-16_19:55:03, EPOCH: 7, LOSS: 1.13025
TIME: 2017-12-16_19:58:53, EPOCH: 8, LOSS: 1.09517
TIME: 2017-12-16_20:02:43, EPOCH: 9, LOSS: 1.09428
TIME: 2017-12-16_20:06:32, EPOCH: 10, LOSS: 1.08176
TIME: 2017-12-16_20:10:22, EPOCH: 11, LOSS: 1.08284
TIME: 2017-12-16_20:14:12, EPOCH: 12, LOSS: 1.06293
TIME: 2017-12-16_20:18:01, EPOCH: 13, LOSS: 1.0452
TIME: 2017-12-16_20:21:50, EPOCH: 14, LOSS: 1.05959
TIME: 2017-12-16_20:25:40, EPOCH: 15, LOSS: 1.04461
TIME: 2017-12-16_20:29:29, EPOCH: 16, LOSS: 1.04898
TIME: 2017-12-16_20:33:19, EPOCH: 17, LOSS: 1.04662
TIME: 2017-12-16_20:37:08, EPOCH: 18, LOSS: 1.03998
TIME: 2017-12-16_20:40:57, EPOCH: 19, LOSS: 1.05741
TIME: 2017-12-16_20:44:47, EPOCH: 20, LOSS: 1.05282
TIME: 2017-12-16_20:48:36, EPOCH: 21, LOSS: 1.0555
TIME: 2017-12-16_20:52:26, EPOCH: 22, LOSS: 1.03363
TIME: 2017-12-16_20:56:15, EPOCH: 23, LOSS: 1.01161
TIME: 2017-12-16_21:00:05, EPOCH: 24, LOSS: 1.02334
TIME: 2017-12-16_21:03:54, EPOCH: 25, LOSS: 0.984539
TIME: 2017-12-16_21:07:44, EPOCH: 26, LOSS: 0.983445
TIME: 2017-12-16_21:11:33, EPOCH: 27, LOSS: 0.981144
TIME: 2017-12-16_21:15:23, EPOCH: 28, LOSS: 0.970958
TIME: 2017-12-16_21:19:12, EPOCH: 29, LOSS: 0.966748
TIME: 2017-12-16_21:23:01, EPOCH: 30, LOSS: 0.96905
TIME: 2017-12-16_21:26:51, EPOCH: 31, LOSS: 0.981135
TIME: 2017-12-16_21:30:40, EPOCH: 32, LOSS: 0.982694
TIME: 2017-12-16_21:34:30, EPOCH: 33, LOSS: 1.00443
TIME: 2017-12-16_21:38:19, EPOCH: 34, LOSS: 1.00533
TIME: 2017-12-16_21:42:08, EPOCH: 35, LOSS: 0.992133
TIME: 2017-12-16_21:45:58, EPOCH: 36, LOSS: 0.977459
TIME: 2017-12-16_21:49:47, EPOCH: 37, LOSS: 0.985906
TIME: 2017-12-16_21:53:37, EPOCH: 38, LOSS: 1.03457
TIME: 2017-12-16_21:57:26, EPOCH: 39, LOSS: 1.03961
TIME: 2017-12-16_22:01:15, EPOCH: 40, LOSS: 1.05282
TIME: 2017-12-16_22:05:05, EPOCH: 41, LOSS: 1.02627
TIME: 2017-12-16_22:08:54, EPOCH: 42, LOSS: 0.994618
TIME: 2017-12-16_22:12:44, EPOCH: 43, LOSS: 0.967346
TIME: 2017-12-16_22:16:33, EPOCH: 44, LOSS: 0.97114
TIME: 2017-12-16_22:20:22, EPOCH: 45, LOSS: 0.970627
TIME: 2017-12-16_22:24:12, EPOCH: 46, LOSS: 0.984226
TIME: 2017-12-16_22:28:01, EPOCH: 47, LOSS: 0.96871
TIME: 2017-12-16_22:31:51, EPOCH: 48, LOSS: 0.94512
TIME: 2017-12-16_22:35:40, EPOCH: 49, LOSS: 1.00095
